577 Frog Porridge & Live Seafood,470 Geylang Road,
Food Republic,51 Bras Basah Road #01-03,Manulife Centre
Food Republic,350 Orchard Road Shaw House B1-02,Shaw House
Food Republic,3 Gateway Drive B1-28,WestGate
Food Republic,30 Tai Seng Street 01-06,Breadtalk iHQ
Food Republic,180 Kitchener Road 04-31,City Square Mall
Food Republic,"80 Marine Parade Rd Parkway Parade B1-85/87, 112/146",Parkway Parade
Food Republic,1 Woodlands Square 04-01,Causeway Point
Food Republic,112 East Coast Road 04-01,112 Katong
Food Republic,23 Serangoon Central NEX B2-63,NEX
Food Republic,1 Harbour Front Walk Vivo City Level 3,Vivo City
Foodgle Kluang,535 Clementi Road,
Futurez Bar,58A Serangoon Garden Way,
Gin Khao,1 Raffles Place Raffles Place #04-29,
Go2Eat Western Food,205D Compassvale Lane,
Good News Cafe,3 Ubi Crescent #05-01,
Gourmet Pizza To Go,6 Changi Business Park #01-23,
Grainwitch,1 Changi Business Park Crescent #01-24A,
Green Bites,80 Bendemeer Road #01-03,
Greenwitch Cafe,1 Fusionopolis Walk #01-12,
Gu Ma Jia Private Kitchen,45 Tai Thong Crescent,
Guacamole 360 Degree,62 Collyer Quay #02-11,
High Steaks,1030 Sembawang Road,
Highlander Coffee Espresso Bar,49 Kampong Bahru Road,
Hokkai Villa,33 Pekin Street,
Holla Juice,Our Tampines Hub #B1-K12,
I Love Taimei,"80 Airport Boulevard, Changi Airport Terminal 1 #03-53",
Imperial Treasure,"10 Airport Boulevard, Changi Terminal 4, #02-41, Departure Transit Area",
Indian Curry House,805 Bukit Timah Road,Indian Curry House
Indian Curry House,27 Upper East Coast Road,Indian Curry House
Itacho Sushi,68 Orchard Road 02-35,Plaza Singapura
Itacho Sushi,2 Orchard Turn B3-20,ION Orchard
Itacho Sushi,200 Victoria Street B1-05,Bugis Junction
Itacho Sushi,311 New Upper Changi Road B2-42,Bedok Mall
Itacho Sushi,1 Vista Exchange Green B1-12,The Star Vista
Itacho Sushi,2 Jurong East Central 1 02-15,JCube
Itacho Sushi,4 Tampines Central 5 04-32,Tampines Mall
Janice Wong,"65 Airport Boulevard, Changi Airport Terminal 3 #02-K11",
Jewel Coffee,1 Kim Seng Promenade #02-25,
Ji Xiang Confectionery,1 Everton Park #01-33,
Jub Jub Mookata,810 Choa Chu Kang Avenue 7 #01-11,
K P Cafeteria Pte Ltd,37 Kallang Pudding Road #10-01B,
KOKO Ice Cream,"1 Vista Exchange Green The Star Vista, #B1-37D",
Kamoshita,5 Neil Road,
Karika Juice Bar,41 Bencoolen Street #01-04,
Katto,1 Fusionopolis Place #01-21/22,
Killiney Kopitiam,67 Killiney Road,
Knicker + Bockers,10 Collyer Quay #B1-10,
Kool P.U.B & Entertainment,81A Serangoon Garden Way,
La Saigon,321 Alexandra Road #02-26,
Laksaamana,750 Chai Chee Road #01-20,
Le Bijoux,57 Killiney Road 01-01,
Lemon & Herbs Rotisserie,6 Changi Business Park Avenue 1 #01-34,
Love U Food,1 Fusionopolis Place #B1-17,
MYO Restobar,138 Robinson Road #19-01,
Macarons.sg,210 Syed Alwi Road,
Madame Low Eating House,192 Joo Chiat Road #192/196,
Mega Indo Bird's Nest Pte Ltd,101 Upper Cross Street #02-66,
Mellow,1 Tampines Walk #B1-52B,
Miryoku Bistro,5 Stadium Walk,
Mount Faber Nasi Lemak,47 Krera Ayer Road,
Mr Falafal Shawarma & Salads,10 Anson Road #01-15,
Mun Ting Xiang Tea Hut,450 Lorong 6 Toa Payoh #01-03,
Munch,535 Clementi Road,
O Banh Mi,114 Jalan Dermawan,
O Plus Entertainment,6 Maju Avenue,
Obar,11 Northshore Drive,
Ollie,31 Exeter Road Comcentre I,
Orchid Roast Fish,68 Pagoda Street,
Orchidville,82 Sungei Tengah Road,
Oriental Ice Bistro,89 Rangoon Road #01-02,
Original Sin Mediterranean Restaurant,43 Jalan Merah Saga,
Pacamara Boutique Coffee Roasters,185 Upper Thomson Road,
Pancake King,231 Bain Street #01-79,
Pizza Hut,184A Choa Chu Kang Ave 1,Keat Hong Delco
Pizza Hut,1 Bukit Batok Central Link 01-26,West Mall
Pizza Hut,Blk 21 Ghim Moh #01-215 ,Ghim Moh (Take Away Counter)
Pizza Hut,29 Kreta Ayer Road ,Kreta Ayer (Take Away Counter)
Pizza Hut,353 Beach Road ,Beach Road (Take Away Counter)
Pizza Hut,Blk 539 Bedok North Street 3 #01- 581 ,Bedok North (Take Away Counter)
Pizza Hut,No 10 Jalan Ubi # 01-07 ,Kampong Ubi Community Centre (Take Away Counter)
Pizza Hut,"11, Tampines Street 32 #01-15 Tampines Mart",Tampines Mart (Take Away Counter)
Pizza Hut,"Blk 85, #01-360 Lorong 4 Toa Payoh ",Toa Payoh (Take Away Counter)
Pizza Hut,165 Upper Paya Lebar Road ,Upper Paya Lebar (Take Away Counter)
Pizza Hut,"1, Pasir Ris Close #01-04A NTUC Downtown East Resort",Downtown East (Take Away Counter)
Pizza Hut,Block 66 Kallang Bahru #01-473 Stall 7 ,Kallang Bahru (Take Away Counter)
Pizza Hut,251 Tanjong Katong Road ,Tanjong Katong (Take Away Counter)
Pizza Hut,"Blk 139, #01-66 Tampines Street 11 ",Tampines New Town (Take Away Counter)
Pizza Hut,Blk 166 Bukit Batok West Ave 8 #01-262 ,Bukit Batok West (Take Away Counter)
Pizza Hut,"557, Bukit Timah Road #01-17/18 Crown Centre",Crown Centre (Take Away Counter)
Pizza Hut,21 Jurong East Sports & Recreation Centre #02-01 Jurong East Street 31,Jurong East Swimming Complex (Take Away Counter)
Pizza Hut,Block 162 Bukit Merah Central #01-3555 ,Bukit Merah Central (Take Away Counter)
Pizza Hut,3 Yuan Ching Road #01-03 Jurong Leisure Complex,Jurong Superbowl (Take Away Counter)
Pizza Hut,Block 524A Jelapang Road #01-04 Greenridge Shopping Centre,Greenridge (Take Away Counter)
Pizza Hut,3 Eng Kong Terrace ,Eng Kong Terrace (Take Away Counter)
Pizza Hut,10 Boon Lay Place  #01-02 ,Boon Lay Community Centre (Take Away Counter)
Pizza Hut,66 Jalan Malu Malu ,Jalan Malu Malu (Take Away Counter)
Pizza Hut,Blk 529 Ang Mo Kio Ave 10 #01-2349 ,Ang Mo Kio Ave 10 (Take Away Counter)
Pizza Hut,Blk 701A Yishun Avenue 5 #01-06 ,Yishun Delco (Take Away Counter)
Pizza Hut,23 Simon Road ,Simon Road (Take Away Counter)
Pizza Hut,Block 306 Woodlands Street 31 #01-17 ,Woodlands Street 31 (Take Away Counter)
Pizza Hut,"168, Punggol Field #B1 - 04 Punggol Plaza",Punggol Plaza (Take Away Counter)
Pizza Hut,"Blk 888, #01-729 Woodlands Drive 50 ",Woodlands Drive (Take Away Counter)
Pizza Hut,21 Hougang Street 51 #01-01B Hougang Green Shopping Mall,Hougang Green (Take Away Counter)
Pizza Hut,225 Jalan Kayu ,Jalan Kayu (Take Away Counter)
Pizza Hut,311 New Upper Changi Road #B2-05/34 Bedok Mall,Bedok Mall
Pizza Hut,889/891 East Coast Road ,Siglap
Pizza Hut,"Blk 215, #01-83 Bedok North Street 1",Bedok North
Pizza Hut,90 Hougang Ave 10  #02-25 Hougang Mall,Hougang Mall
Pizza Hut,180 Kitchener Road #01-19/21 City Square Mall,City Square Mall
Pizza Hut,930 Yishun Avenue 2  #B1-40/41 North Point Shopping Centre,Northpoint
Pizza Hut,23 Serangoon Central #03-11/12/13 NEX Mall,NEX
Pizza Hut,No 4 Tampines Central 5 #02-02 Tampines Mall,Tampines Mall
Pizza Hut,"Block 190, #02-516A  Toa Payoh Lorong 6",Toa Payoh Lorong 6
Pizza Hut,9 Bishan Place #01-40 Junction 8 Shopping Centre,Junction 8
Pizza Hut,Westgate 3 Gateway Drive #04-04/05 Jurong Westgate,Westgate
Pizza Hut,301 Upper Thomson Rd #02-24/26 Thomson Plaza,Thomson Plaza
Pizza Hut,Blk 451 Clementi Ave 3 #01-309  (2nd Level inside Courts),Clementi
Pizza Hut,1 Jelebu Road #02-33/35 ,Bukit Panjang Plaza
Pizza Hut,"No 1, Woodlands Square  #B1-25 Causeway Point Shopping Centre",Causeway Point
Pizza Hut,"Blk 715, Ang Mo Kio Ave 6, #01-4000 ",Ang Mo Kio Ave 6
Pizza Hut,21 Choa Chu Kang Ave 4 #02-20 Lot One Shopper's Mall,Lot One
Pizza Hut,1 Jurong West Central 2 #01-33 Jurong Point Shopping Centre,Jurong Point II
Pizza Hut,1 Jalan Anak Bukit #01-16A Bukit Timah Plaza,Bukit Timah Plaza
Pizza Hut,68 Orchard Road #B2-01/35,Plaza Singapura
Pot Luck,2 Jurong East Street 21 01-101A,
QF Mookata,318 Jurong East Street 31,
Raku Raku Japanese Dining,4 Stanley Street,
Ramen Matsuri,7 North Canal Road,
Simple Eats | The Thai Noodle Bar,"80 Airport Boulevard, Changi Airport Terminal 1 #02-45",
Som Tam,181 Orchard Road #08-13 Orchard Central,
Soup Restaurant,1 Sengkang Square #03-16,Compass One
Soup Restaurant,118 Holland Avenue 01-02,Holland V
Soup Restaurant,450 Lorong 6 Toa Payoh 01-10,Toa Payoh
Soup Restaurant,1 Harbour Front Walk 02-141,Vivo City
Soup Restaurant,101 Thomson Road B1-10,United Square
Soup Restaurant,3 Temasek Boulevard B1-122,Suntec City
Soup Restaurant,328 North Bridge 01-10,Raffles Hotel Arcade
Soup Restaurant,290 Orchard Road B1-07,Paragon
Soup Restaurant,23 Serangoon Central 02-15,NEX
Soup Restaurant,1 Jurong West Central 02-33,Jurong Point
Soup Restaurant,2 Jurong East Street 21 01-101B,IMM
Soup Restaurant,90 Hougang Ave 10 02-21,Hougang Mall
Soup Restaurant,3155 Commonwealth Ave West 03-62,Clementi Mall
Soup Restaurant,2 Tampines Central 5 B1-01,Century Square
Spinelli,8 Marina Boulevard ,
Sweet Monster,1 Tampines Walk #B1-K31,
Talay Kata,181 Orchard Rd #08-04/05,
The RED Noodle & Bottle Bar,1 Fusionopolis Place #01-12,
Woobbee,100 Beach Road 01-53,Shaw Tower
Woobbee,1 Tanjong Pagar Plaza 01-18,Tanjong Pagar Plaza
Woobbee,133 New Bridge Road 02-26,Chinatown Point
