northpoint city
163
4Fingers Crispy Chicken, #01-15 (North Wing)
The Seafood Market Place by Song Fish, #B1-05 (North Wing)
Tiger Sugar, #01-153 (South Wing)
Toast Box, #01-49 (North Wing)
Tonkotsu Kazan, #B1-188/189 (South Wing)
Tori-Q, #B1-185 (South Wing)
Turkish Kebab House, #B2-125 (South Wing)
Twelve Cupcakes, #01-105 (South Wing)
umisushi Teishoku, #B1-153 (South Wing)
UNICE, #B2-135 (South Wing)
Wee Nam Kee Chicken Rice, #B1-52 (North Wing)
Wow Tako, #B1-09 (North Wing)
Xiao Yang Guo Kui, #B2-144 (South Wing)
Xin Wang Hong Kong Café, #01-40 (North Wing)
Ya Hua Bak Kut Teh, #B1-196/197 (South Wing)
Ya Kun Kaya Toast, #B1-22/23/24 (North Wing)
Yi Qian Ling Yi Ye, #B1-184 (South Wing)
YuBa Hut, #B1-186 (South Wing)
ZTP Herbal Tea, #B2-133 (South Wing)
